CNES;NOMEUBS;STS;CRS;PERC_ESF;EAB;AREA_KM2;PERIMETRO;POP_2010;DOM_PP_2010;DENS_DEMOG;DENS_DOMIC;imoveis_resid_CNEFE2020;imoveis_total_CNEFE2020;unidhab_conjhabpop;dom_cortico;pop_cortico;dom_favela;dom_nucleohab;dom_terrenoocup
3913007;CS ESCOLA BARRA FUNDA - ALEXANDRE VRANJAC;SANTA CECILIA;CENTRO;100;ESF_EXCLUSIVA;6,86;15,07;28793;11325;4199,90;2,54;21698;24955;206;40;613;70;282;144
2029618;UBS BOM RETIRO - OCTAVIO AUGUSTO RODOVALHO;SANTA CECILIA;CENTRO;100;ESF_EXCLUSIVA;3,18;8,56;26386;8507;8307,14;3,10;10001;15843;159;123;848;1;0;104
6048633;UBS BORACEA;SANTA CECILIA;CENTRO;100;ESF_EXCLUSIVA;1,43;10,32;19284;7291;13454,96;2,64;8114;9683;486;79;644;374;0;619
2752336;UBS DR HUMBERTO PASCALE SANTA CECILIA;SANTA CECILIA;CENTRO;12,8;ESF_MISTA;4,58;10,82;93248;40999;20347,91;2,27;49626;54195;0;84;1074;0;0;467
2786834;UBS CAMBUCI;SE;CENTRO;40,4;ESF_MISTA;5,42;13,93;77682;29067;14331,06;2,67;33386;38490;15;128;1321;88;0;102
2787113;UBS HUMAITA;SE;CENTRO;41,5;ESF_MISTA;2,31;8,51;46876;20480;20256,96;2,29;26257;30057;0;240;3321;0;3;72
2788144;UBS NOSSA S DO BRASIL  - ARMANDO DARIENZO;SE;CENTRO;43,5;ESF_MISTA;2,21;6,42;58283;27110;26428,46;2,15;35401;38648;0;93;1120;0;0;91
6090621;UBS REPUBLICA;SE;CENTRO;100;ESF_EXCLUSIVA;2,30;7,08;50917;23086;22090,54;2,21;28121;34907;407;33;200;0;0;4541
5975220;UBS SE;SE;CENTRO;85,6;ESF_MISTA;3,35;13,61;41770;15695;12481,95;2,66;16566;22033;21;212;1681;0;1;141
4050177;AMA/UBS INTEGRADA CASTRO ALVES;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;1,41;6,88;18465;5219;13141,36;3,54;5268;5694;1571; - ; - ;189;0;0
3738663;AMA/UBS INTEGRADA FAZENDA DO CARMO;CIDADE TIRADENTES;LESTE;0;TRADICIONAL;3,86;10,51;32703;9545;8466,57;3,43;11453;12068;0; - ; - ;385;60;0
2786788;UBS BARRO BRANCO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;0,71;4,75;11253;2914;15878,77;3,86;3329;3595;260; - ; - ;22;0;0
4050347;UBS CARLOS GENTILE DE MELO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;1,03;5,02;30001;8733;29013,65;3,44;8464;9077;4459; - ; - ;846;0;0
2774771;UBS CIDADE TIRADENTES I;CIDADE TIRADENTES;LESTE;0;TRADICIONAL;1,18;8,06;18475;5446;15684,76;3,39;5906;6512;2534; - ; - ;74;0;0
2786974;UBS DOM ANGELICO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;0,54;5,89;9056;2446;16907,15;3,70;2548;2888;0; - ; - ;30;0;0
2787059;UBS FERROVIARIOS;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;1,40;6,54;12447;3807;8915,68;3,27;3693;3834;937; - ; - ;0;0;0
3121135;UBS GRAFICOS;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;1,14;8,40;8001;2235;7025,99;3,58;3002;3247;628; - ; - ;536;0;0
3661660;UBS INACIO MONTEIRO;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;3,29;11,79;21945;6327;6665,50;3,47;5714;6141;541; - ; - ;787;60;0
2787954;UBS JARDIM VITORIA;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;0,85;5,06;8039;2173;9463,93;3,70;2567;2843;0; - ; - ;0;0;0
9618694;UBS NASCER DO SOL;CIDADE TIRADENTES;LESTE;0;TRADICIONAL;1,68;7,53;21934;6644;13070,24;3,30;7154;7671;6365; - ; - ;169;0;0
4049969;UBS PREFEITO PRESTES MAIA;CIDADE TIRADENTES;LESTE;0;TRADICIONAL;1,61;5,88;23780;6665;14749,10;3,57;7350;7765;1666; - ; - ;150;300;0
2027305;UBS PROFETA JEREMIAS;CIDADE TIRADENTES;LESTE;100;ESF_EXCLUSIVA;0,56;4,29;11187;3313;19910,32;3,38;3798;4163;3155; - ; - ;105;0;0
2752247;AMA/UBS INTEGRADA HUMBERTO CERRUTI;ERMELINO MATARAZZO;LESTE;100;ESF_EXCLUSIVA;1,37;7,43;20931;6339;15324,49;3,30;6892;7749;0; - ; - ;573;20;0
4049993;AMA/UBS INTEGRADA JARDIM POPULAR DR. MATHEUS SANTAMARIA;ERMELINO MATARAZZO;LESTE;0;TRADICIONAL;0,96;4,68;10605;3295;11058,00;3,22;3491;4077;0; - ; - ;0;0;0
2774828;AMA/UBS INTEGRADA JARDIM TR?S MARIAS MAURICIO ZAMIJOVSKY;ERMELINO MATARAZZO;LESTE;100;ESF_EXCLUSIVA;0,97;5,05;13744;4140;14214,98;3,32;4495;5240;0; - ; - ;50;63;0
2751836;AMB ESPEC VILA PARANAGUA/CEO;ERMELINO MATARAZZO;LESTE;0;TRADICIONAL;1,15;4,57;13317;4148;11609,14;3,21;4523;5297;0; - ; - ;12;50;0
2752190;UBS BURGO PAULISTA;ERMELINO MATARAZZO;LESTE;0;TRADICIONAL;0,82;4,64;12157;3699;14913,45;3,29;3976;4528;0; - ; - ;0;105;0
2786958;UBS COSTA MELO;ERMELINO MATARAZZO;LESTE;100;ESF_EXCLUSIVA;1,68;7,46;24451;7624;14516,86;3,21;8417;9395;0; - ; - ;117;0;0
