CRS_UBS;STS_UBS;NOME_UBS;CNES_UBS;DOM_PP;DOM_AGUA;PERC_DOM_AGUA;DOM_REDEESGOTO;PERC_DOM_REDEESGOTO;DOM_LIXOCOLET;PERC_DOM_LIXOCOLET;DOM_ENERGELETR;PERC_DOM_ENERGELETR;POP_DOM_PP;DENSDOM;POP_AGUA;PERC_POP_AGUA;POP_REDEESGOTO;PERC_POP_REDEESGOTO;POP_LIXOCOLET;PERC_POP_LIXOCOLET;POP_ENERGELETR;PERC_POP_ENERGELETR;DOM_ESGOTOABERTO;PERC_DOM_ESGOTOABERTO;POP_ESGOTOABERTO;PERC_POP_ESGOTOABERTO;DOM_LIXOACUMUL;PERC_DOM_LIXOACUMUL;POP_LIXOACUMUL;PERC_POP_LIXOACUMUL;DOM_SEMPAVIMENT;PERC_DOM_SEMPAVIMENT;POP_SEMPAVIMENT;PERC_POP_SEMPAVIMENT
SUDESTE;VILA PRUDENTE / SAPOPEMBA;UBS VILA HELOISA;2026961;9481,08;9478,10;99,97;9436,91;99,53;9479,96;99,99;9480,08;99,99;29700,32;3,13;29691,13;99,97;29550,42;99,50;29695,39;99,98;29695,32;99,98;14,84;0,16;51,62;0,17;16,24;0,17;60,65;0,20;53,36;0,56;164,87;0,56
SUDESTE;VILA PRUDENTE / SAPOPEMBA;AMA/UBS INTEGRADA VILA CALIFORNIA - ZEILIVAL BRUSCAGIN;2026988;6650,85;6644,72;99,91;6502,18;97,76;6650,85;100,00;6649,85;99,98;20324,87;3,06;20310,74;99,93;19859,64;97,71;20324,87;100,00;20322,87;99,99;0,00;0,00;0,00;0,00;90,40;1,36;270,90;1,33;0,00;0,00;0,00;0,00
LESTE;ITAQUERA;AMA/UBS INTEGRADA JOSE BONIFACIO I;2026996;4245,52;4236,17;99,78;4200,69;98,94;4244,52;99,98;4244,81;99,98;14635,77;3,45;14597,97;99,74;14470,53;98,87;14630,77;99,97;14628,70;99,95;155,97;3,67;504,25;3,45;188,20;4,43;663,30;4,53;35,56;0,84;117,42;0,80
LESTE;SAO MATEUS;UBS CARRAOZINHO;2027011;2971,21;2902,14;97,68;2687,35;90,45;2957,68;99,54;2969,09;99,93;10173,85;3,42;9895,55;97,26;9109,19;89,54;10109,08;99,36;10171,30;99,97;167,41;5,63;630,39;6,20;185,71;6,25;671,78;6,60;109,91;3,70;413,19;4,06
LESTE;SAO MATEUS;UBS SANTA BARBARA;2027038;7550,70;7545,54;99,93;7214,89;95,55;7550,11;99,99;7549,77;99,99;25082,84;3,32;25067,31;99,94;23830,66;95,01;25080,48;99,99;25081,01;99,99;193,83;2,57;723,28;2,88;484,88;6,42;1652,92;6,59;232,44;3,08;916,49;3,65
LESTE;SAO MATEUS;UBS JARDIM PARAGUAÇU;2027046;3307,17;3294,23;99,61;3063,54;92,63;3290,36;99,49;3305,60;99,95;11108,12;3,36;11059,95;99,57;10240,21;92,19;11058,01;99,55;11105,75;99,98;86,08;2,60;285,69;2,57;100,74;3,05;325,19;2,93;74,35;2,25;272,30;2,45
LESTE;ITAQUERA;UBS JARDIM MARILIA;2027054;7398,70;7389,87;99,88;7148,26;96,62;7398,70;100,00;7393,92;99,94;25179,50;3,40;25142,87;99,85;24271,21;96,39;25179,50;100,00;25159,72;99,92;173,92;2,35;609,73;2,42;732,66;9,90;2466,41;9,80;5,45;0,07;16,36;0,06
NORTE;FREGUESIA / BRASILANDIA;UBS VILA RAMOS - FREGUESIA DO O;2027062;5524,65;5524,65;100,00;5372,22;97,24;5515,78;99,84;5522,44;99,96;18218,58;3,30;18218,58;100,00;17660,86;96,94;18189,58;99,84;18208,27;99,94;137,71;2,49;487,96;2,68;149,17;2,70;493,34;2,71;1,38;0,02;3,07;0,02
SUDESTE;PENHA;AMA/UBS INTEGRADA PADRE MANOEL DA NOBREGA;2027070;9750,07;9745,67;99,95;9226,99;94,64;9722,98;99,72;9750,06;100,00;29361,58;3,01;29349,81;99,96;27318,44;93,04;29273,31;99,70;29361,55;100,00;131,84;1,35;418,45;1,43;546,05;5,60;1633,57;5,56;2,11;0,02;6,22;0,02
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS VILA ALBERTINA - DR. OSVALDO MARÇAL;2027275;7648,88;7633,62;99,80;6666,51;87,16;7637,33;99,85;7638,27;99,86;25574,74;3,34;25526,64;99,81;22346,82;87,38;25538,86;99,86;25530,73;99,83;354,10;4,63;1221,47;4,78;575,72;7,53;2002,62;7,83;30,54;0,40;106,14;0,42
LESTE;CIDADE TIRADENTES;UBS PROFETA JEREMIAS;2027305;3314,54;3314,06;99,99;3293,77;99,37;3314,13;99,99;3314,14;99,99;11189,41;3,38;11189,34;100,00;11117,79;99,36;11189,41;100,00;11189,41;100,00;63,85;1,93;217,76;1,95;50,84;1,53;198,50;1,77;49,00;1,48;166,00;1,48
SUL;PARELHEIROS;UBS RECANTO CAMPO BELO;2027321;4445,00;4303,12;96,81;1507,21;33,91;4430,20;99,67;4416,95;99,37;15493,14;3,49;14986,88;96,73;5170,91;33,38;15428,54;99,58;15394,88;99,37;1624,14;36,54;5780,53;37,31;71,05;1,60;238,25;1,54;2802,45;63,05;9857,87;63,63
OESTE;LAPA / PINHEIROS;UBS MENINOPËLIS - MARIO FRANCISCO NAPOLITANO;2027380;9321,56;9319,59;99,98;9270,93;99,46;9320,56;99,99;9321,56;100,00;22975,16;2,46;22966,32;99,96;22815,18;99,30;22974,16;100,00;22975,16;100,00;2,96;0,03;3,95;0,02;92,87;1,00;159,68;0,70;33,92;0,36;94,00;0,41
OESTE;LAPA / PINHEIROS;UBS PARQUE DA LAPA;2027461;14336,36;14315,16;99,85;14154,03;98,73;14335,36;99,99;14330,36;99,96;39938,39;2,79;39899,77;99,90;39350,85;98,53;39935,39;99,99;39925,39;99,97;9,03;0,06;41,49;0,10;417,03;2,91;1573,39;3,94;4,00;0,03;11,00;0,03
LESTE;ITAIM PAULISTA;UBS INTEGRAL JARDIM NELIA;2027526;9981,72;9936,39;99,55;9042,47;90,59;9973,93;99,92;9975,33;99,94;35480,06;3,55;35314,46;99,53;31802,71;89,64;35452,90;99,92;35455,53;99,93;367,00;3,68;1440,64;4,06;1502,99;15,06;5272,29;14,86;235,93;2,36;944,08;2,66
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS JOAQUIM ANTONIO EIRADO;2027631;20307,13;20295,19;99,94;20068,45;98,82;20301,98;99,97;20303,41;99,98;56438,24;2,78;56410,41;99,95;55752,11;98,78;56422,08;99,97;56425,84;99,98;746,29;3,68;2840,52;5,03;449,00;2,21;1627,46;2,88;45,15;0,22;131,53;0,23
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS CHORA MENINO;2027666;20480,86;20467,86;99,94;20149,21;98,38;20475,11;99,97;20478,97;99,99;58584,18;2,86;58533,18;99,91;57552,78;98,24;58571,42;99,98;58579,21;99,99;78,05;0,38;242,56;0,41;110,44;0,54;290,86;0,50;12,00;0,06;33,00;0,06
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS VILA NIVI;2027674;13818,76;13807,57;99,92;13038,50;94,35;13811,02;99,94;13816,37;99,98;42703,18;3,09;42660,81;99,90;40214,91;94,17;42680,88;99,95;42693,32;99,98;99,67;0,72;321,68;0,75;42,96;0,31;120,48;0,28;6,40;0,05;23,09;0,05
NORTE;CASA VERDE / CACHOEIRINHA;UBS CASA VERDE;2027682;6242,17;6238,30;99,94;6146,79;98,47;6242,17;100,00;6242,17;100,00;18649,01;2,99;18636,43;99,93;18342,14;98,35;18649,01;100,00;18649,01;100,00;221,19;3,54;650,54;3,49;125,18;2,01;342,39;1,84;0,00;0,00;0,00;0,00
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS DONA MARIQUINHA SCIASCIA;2027690;8020,55;7997,49;99,71;6425,30;80,11;8009,48;99,86;8014,32;99,92;25019,88;3,12;24947,06;99,71;19890,69;79,50;24990,56;99,88;25013,95;99,98;3,94;0,05;12,42;0,05;9,66;0,12;30,33;0,12;181,06;2,26;609,02;2,43
NORTE;VILA MARIA / VILA GUILHERME;UBS VILA MARIA - LUIZ PAULO GNECCO;2027720;6777,62;6771,18;99,90;6635,32;97,90;6769,83;99,89;6775,21;99,96;21126,90;3,12;21111,21;99,93;20671,66;97,85;21105,24;99,90;21121,27;99,97;63,73;0,94;176,03;0,83;144,91;2,14;488,26;2,31;2,84;0,04;10,42;0,05
CENTRO;SANTA CECILIA;UBS BOM RETIRO - OCTAVIO AUGUSTO RODOVALHO;2029618;8603,39;8547,05;99,35;8528,66;99,13;8601,91;99,98;8598,39;99,94;25218,29;2,93;25043,32;99,31;24993,79;99,11;25216,32;99,99;25204,27;99,94;63,21;0,73;201,51;0,80;1426,72;16,58;4241,70;16,82;0,00;0,00;0,00;0,00
SUDESTE;VILA MARIANA / JABAQUARA;UBS CIDADE VARGAS;2030934;12523,92;12515,33;99,93;12431,61;99,26;12522,92;99,99;12520,92;99,98;35127,83;2,80;35104,93;99,93;34815,68;99,11;35127,83;100,00;35125,83;99,99;75,82;0,61;207,94;0,59;27,76;0,22;96,35;0,27;12,97;0,10;69,17;0,20
SUDESTE;VILA MARIANA / JABAQUARA;AMA/UBS INTEGRADA AMERICANËPOLIS;2030969;7174,35;7143,38;99,57;6599,03;91,98;7170,34;99,94;7168,35;99,92;24049,01;3,35;23941,78;99,55;22124,44;92,00;24028,94;99,92;24030,02;99,92;59,52;0,83;218,02;0,91;163,15;2,27;525,45;2,18;36,86;0,51;112,29;0,47
SUDESTE;MOOCA / ARICANDUVA / FORMOSA / CARRAO;UBS MOOCA I;2042258;15922,61;15912,96;99,94;15798,74;99,22;15919,81;99,98;15922,61;100,00;44390,46;2,79;44371,20;99,96;44036,95;99,20;44383,67;99,98;44390,46;100,00;5,14;0,03;13,09;0,03;240,10;1,51;702,73;1,58;0,00;0,00;0,00;0,00
NORTE;SANTANA / TUCURUVI / JAÇANA / TREMEMBE;UBS DR JOSE TOLEDO PIZA;2042541;6099,47;6091,91;99,88;5415,24;88,78;6093,75;99,91;6099,47;100,00;19399,67;3,18;19365,28;99,82;17111,03;88,20;19382,22;99,91;19399,67;100,00;47,30;0,78;175,93;0,91;130,97;2,15;475,97;2,45;125,96;2,07;458,17;2,36
SUDESTE;VILA PRUDENTE / SAPOPEMBA;AMA/UBS INTEGRADA JARDIM GRIMALDI;2042932;11567,40;11390,96;98,47;11003,68;95,13;11527,95;99,66;11565,37;99,98;38163,76;3,30;37534,60;98,35;36217,75;94,90;38026,75;99,64;38157,80;99,98;351,76;3,04;1193,19;3,13;965,16;8,34;3244,31;8,50;162,57;1,41;524,65;1,37
SUDESTE;IPIRANGA;UBS JARDIM DA SAUDE  - NEUSA ROSALIA MORALES;2042967;11020,72;11014,79;99,95;10475,98;95,06;10982,72;99,66;11019,61;99,99;33306,58;3,02;33283,84;99,93;31264,00;93,87;33138,58;99,50;33302,47;99,99;53,48;0,49;168,36;0,51;444,29;4,03;1370,55;4,11;4,71;0,04;15,44;0,05
SUDESTE;IPIRANGA;UBS OSWALDO MARASCA JUNIOR;2042975;9376,58;9357,45;99,80;9341,33;99,62;9376,45;100,00;9374,08;99,97;26101,24;2,78;26025,24;99,71;25960,82;99,46;26101,24;100,00;26092,04;99,96;48,74;0,52;138,84;0,53;262,39;2,80;762,49;2,92;1,00;0,01;6,00;0,02
SUDESTE;IPIRANGA;UBS EDUARDO ROMANO RESCHILIAN;2042983;9510,65;9504,77;99,94;9007,48;94,71;9510,65;100,00;9507,04;99,96;31026,74;3,26;31007,30;99,94;29300,29;94,44;31026,74;100,00;31016,12;99,97;139,36;1,47;478,14;1,54;610,42;6,42;2014,66;6,49;12,03;0,13;32,04;0,10
SUDESTE;VILA MARIANA / JABAQUARA;AMA/UBS INTEGRADA DR. GERALDO DA SILVA FERREIRA - CEO II;2042991;11997,47;11948,52;99,59;11478,66;95,68;11995,51;99,98;11996,47;99,99;34037,28;2,84;33892,78;99,58;32343,20;95,02;34035,32;99,99;34036,28;100,00;120,49;1,00;339,08;1,00;65,43;0,55;163,08;0,48;38,11;0,32;153,38;0,45
SUDESTE;VILA PRUDENTE / SAPOPEMBA;AMA/UBS INTEGRADA JARDIM ELBA HUMBERTO GASTAO BODRA;2043009;3756,69;3750,54;99,84;3614,81;96,22;3756,69;100,00;3755,89;99,98;12250,97;3,26;12233,85;99,86;11748,68;95,90;12250,97;100,00;12250,18;99,99;54,81;1,46;181,84;1,48;123,98;3,30;410,46;3,35;65,48;1,74;231,64;1,89
SUDESTE;VILA PRUDENTE / SAPOPEMBA;UBS MASCARENHAS DE MORAES;2043017;4243,50;4239,64;99,91;4019,39;94,72;4243,50;100,00;4240,46;99,93;15013,89;3,54;14996,79;99,89;14159,27;94,31;15013,89;100,00;15001,63;99,92;209,53;4,94;739,66;4,93;148,68;3,50;542,15;3,61;57,30;1,35;208,23;1,39
SUDESTE;VILA PRUDENTE / SAPOPEMBA;UBS VILA ALPINA - DR HERMINIO MOREIRA;2045451;8295,43;8291,31;99,95;8215,78;99,04;8294,20;99,99;8294,43;99,99;24814,75;2,99;24802,59;99,95;24571,01;99,02;24809,31;99,98;24810,75;99,98;121,63;1,47;349,14;1,41;168,26;2,03;481,26;1,94;59,42;0,72;243,85;0,98
LESTE;ITAIM PAULISTA;UBS ITAIM PAULISTA JULIO DE GOUVEIA;2046261;8085,48;8064,63;99,74;7277,48;90,01;8076,54;99,89;8079,17;99,92;27140,19;3,36;27052,79;99,68;24326,48;89,63;27099,11;99,85;27119,14;99,92;137,24;1,70;449,15;1,65;256,87;3,18;880,86;3,25;51,55;0,64;195,86;0,72
LESTE;SAO MIGUEL;UBS CIDADE PEDRO JOSE NUNES;2046962;5597,94;5596,13;99,97;5348,10;95,54;5597,94;100,00;5597,92;100,00;18645,64;3,33;18638,07;99,96;17767,69;95,29;18645,64;100,00;18645,60;100,00;50,36;0,90;181,21;0,97;121,55;2,17;403,57;2,16;72,71;1,30;243,57;1,31
SUDESTE;VILA MARIANA / JABAQUARA;UBS VILA SANTA CATARINA;2046997;6800,18;6768,55;99,53;5978,30;87,91;6798,70;99,98;6798,16;99,97;21557,47;3,17;21460,77;99,55;18768,08;87,06;21555,47;99,99;21550,87;99,97;226,79;3,34;751,35;3,49;222,13;3,27;730,61;3,39;7,01;0,10;29,03;0,13
SUDESTE;IPIRANGA;UBS AURELIO MELLONE;2047004;6073,67;6019,96;99,12;5404,40;88,98;6072,31;99,98;6072,31;99,98;17950,17;2,96;17785,74;99,08;15673,42;87,32;17942,81;99,96;17948,45;99,99;36,94;0,61;123,36;0,69;240,43;3,96;620,59;3,46;2,00;0,03;5,00;0,03
LESTE;ITAIM PAULISTA;UBS CIDADE KEMEL;2057131;4661,81;4650,59;99,76;4557,62;97,77;4661,33;99,99;4660,10;99,96;16662,75;3,57;16623,38;99,76;16273,91;97,67;16660,34;99,99;16654,05;99,95;255,87;5,49;899,66;5,40;278,05;5,96;992,50;5,96;30,00;0,64;92,32;0,55
LESTE;ITAIM PAULISTA;UBS JARDIM CAMARGO NOVO;2057271;9190,84;9179,14;99,87;8276,82;90,06;9184,87;99,94;9185,44;99,94;31485,72;3,43;31446,64;99,88;28114,04;89,29;31463,89;99,93;31470,07;99,95;718,78;7,82;2420,84;7,69;882,55;9,60;3158,09;10,03;55,83;0,61;211,24;0,67
SUDESTE;VILA PRUDENTE / SAPOPEMBA;UBS PARQUE SAO LUCAS;2057891;8708,61;8707,58;99,99;8620,44;98,99;8708,61;100,00;8705,61;99,97;26030,98;2,99;26027,97;99,99;25763,66;98,97;26030,98;100,00;26024,98;99,98;44,47;0,51;145,47;0,56;96,89;1,11;327,14;1,26;0,00;0,00;0,00;0,00
