Dicionario dos dados domiciliares e moradias populares vulneráveis segundo tipo e áreas de abrangência de UBS, versão 2022;;;
;;;
Variável;Descrição;Fonte;Data_atualização
CNES;Código Nacional do Estabelecimento de Saúde (AA_UBS);CEInfo / SMS;2022
NOMEUBS;Denominação da Unidade de Saúde (AA_UBS);CEInfo / SMS;2022
STS;Denominação da Superv. Téc. de Saúde (agrupamento de AA_UBS);CEInfo / SMS;2022
CRS;Denominação da Coord. Reg. de Saúde (agrupamento de AA_UBS);CEInfo / SMS;2022
PERC_ESF;Fração Percentual do território coberto pela Estratégia de Saúde da Família (ESF);CEInfo / SMS;2022
EAB;Estratégia de Atenção Básica com base na PERC_ESF;CEInfo / SMS;2022
AREA_KM2;Área territorial em quilômetros quadrados;CEInfo / SMS;2022
PERIMETRO;Perímetro  territorial em quilômetros;CEInfo / SMS;2022
POP_2010;População residente em domicílios particulares permanentes segundo dados censitários, IBGE2010;IBGE;pop e dom: 2010 / aa-ubs e esf: 2022
DOM_PP_2010;Domicílios particulares permanentes segundo dados censitários, IBGE2010;IBGE;pop e dom: 2010 / aa-ubs e esf: 2022
DENS_DEMOG;Densidade demográfica (quantidade de residentes por km²);IBGE;pop e dom: 2010 / aa-ubs e esf: 2022
DENS_DOMIC;Densidade domiciliar (quantidade de residentes por domicílio);IBGE;pop e dom: 2010 / aa-ubs e esf: 2022
imoveis_resid_CNEFE2020;Quantidade de imóveis residenciais segundo Cadastro Nacional para Fins Estatísticos, IBGE 2020;IBGE;dom part perm: 2010 / imoveis resid: 2020
imoveis_total_CNEFE2020;Quantidade de imóveis segundo Cadastro Nacional para Fins Estatísticos, IBGE 2020;IBGE;dom part perm: 2010 / imoveis: 2020
unidhab_conjhabpop;Quantidade de unidades habitacionais em Conjuntos Habitacionais Populares (ex: CDHU, COHAB, ...);SEHAB/HabitaSampa;mai/22
pop_cortico;Quantidade de pessoas em cortiços;SEHAB/HabitaSampa;mai/22
dom_cortico;Quantidade de cortiços;SEHAB/HabitaSampa;mai/22
dom_favela;Quantidade de domicílios em favelas;SEHAB/HabitaSampa;mai/22
dom_nucleohab;Quantidade de domicílios em núcleos Habitacionais ;SEHAB/HabitaSampa;mai/22
dom_terrenoocup;Quantidade de domicílios em terrenos ocupados;SEHAB/HabitaSampa;mai/22
*ver notas técnicas adiante.;;;
;;;
NOTAS TÉCNICAS:;;;
"  - Informações geográficas atribuídas por meio de técnicas de geoprocessamento que, a partir de operação espacial entre as camadas, obtém a intersceção dos polígonos com as delimitações das moradias e as áreas de abrangência de UBS;";;;
" - Dados atribuídos de forma proporcional à área para os casos onde o polígono com a delimitação das moradias está contido em mais de uma área de abrangência;";;;
 - Inconsistências topológicas nas camadas com os polígonos das moradias, como sobreposição ou buraco, podem interferir na atribuição dos dados e nos valores totais se comparados aos valores, sem desagregação, para o município.;;;
;;;
;;;
DEFINIÇÕES:;;;
"FAVELAS
As favelas se caracterizam por assentamentos precários que surgem de ocupações espontâneas feitas de forma desordenada, sem definição prévia de lotes e sem arruamento, em áreas públicas ou particulares de terceiros, com redes de infraestrutura insuficientes, em que as moradias são predominantemente autoconstruídas e com elevado grau de precariedade, por famílias de baixa renda em situação de vulnerabilidade.

• 1,741 favelas cadastradas pela Secretaria

• 398,700 domicílios em favelas estimados pela Secretaria";;;
;;;
"NÚCLEOS
Os núcleos urbanizados são favelas dotadas de 100% de infraestrutura de água, esgoto, iluminação pública, drenagem e coleta de lixo, viabilizadas através de ações por parte do poder público ou não. Porém, ainda não regularizadas legalmente.

• 435 núcleos cadastrados pela Secretaria

• 60,855 famílias em núcleos estimadas pela Secretaria";;;
;;;
"LOTEAMENTOS
Os loteamentos irregulares se caracterizam por assentamentos em que a ocupação se deu a partir da iniciativa de um agente promotor e/ou comercializador, sem a prévia aprovação pelos órgãos públicos responsáveis ou, quando aprovados ou em processo de aprovação, implantados em desacordo com a legislação ou com o projeto aprovado. Do ponto de vista das condições urbanas, os loteamentos irregulares ocupados majoritariamente por população de baixa renda sofrem com algum tipo de desconformidade, como a largura das ruas, tamanho mínimo dos lotes, largura de calçadas e implantação de infraestrutura urbana, que configuram uma paisagem árida em que predomina o espaço construído, com alta densidade construtiva, carente de arborização e de espaços livres e de uso comum.

• 2,003 loteamentos cadastrados pela Secretaria

• 387,376 lotes em loteamentos irregulares estimados pela Secretaria";;;
;;;
"CORTIÇOS
Os cortiços são considerados assentamentos precários que se caracterizam como habitações coletivas precárias de aluguel, e que frenquentemente apresentam instalações sanitárias compartilhadas entre vários cômodos, alta densidade de ocupação, circulação e infraestrutura precárias, acesso e uso comum dos espaços não edificados e altíssimos valores de aluguel por m² edificado. As maiores concentrações de cortiços se dão nas regiões centrais da cidade.

• 1,478 cortiços cadastrados pela Secretaria apenas nas subprefeituras da Sé e Mooca";;;
;;;
"CONJUNTOS HABITACIONAIS 
Perímetro dos conjuntos habitacionais, patrimônio da COHAB ou providos com recurso da Sehab.";;;
;;;
;;;
Fontes: HabitaSampa / SEHAB:;;;
http://www.habitasampa.inf.br/habitacao/;;;
;;;
Mais informações sobre cada tipo de moradia:;;;
https://mapa.habitasampa.inf.br/linkdocs/docmapa/metadados_habitasampa.pdf;;;
Informações acessadas também via GEOSampa;;;
( internet | intranet PMSP );;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
